   Step   Time    Walltime(s) Profile
3000000  15.0000    20.0257   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
3500000  17.5000    23.3703   ▃▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▃▃
4000000  20.0000    26.7240   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    30.0818   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▆▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    33.4376   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
5500000  27.5000    36.8025   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇██████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅
6000000  30.0000    40.1744   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
6500000  32.5000    43.5288   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇████████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆
7000000  35.0000    46.8819   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
7500000  37.5000    50.2059   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇██████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆
8000000  40.0000    53.5644   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
