
real	2m3.091s
user	1m50.433s
sys	0m12.602s

real	2m13.994s
user	4m2.227s
sys	0m25.705s

real	1m42.455s
user	4m43.289s
sys	0m23.873s

real	1m50.667s
user	6m56.690s
sys	0m25.660s

real	1m58.032s
user	9m24.345s
sys	0m25.438s

real	2m8.698s
user	12m23.838s
sys	0m27.859s

real	2m26.619s
user	16m37.751s
sys	0m28.053s

real	2m39.716s
user	20m48.231s
sys	0m28.847s

real	2m39.320s
user	23m25.804s
sys	0m27.606s

real	2m50.683s
user	27m58.656s
sys	0m27.663s

real	2m59.200s
user	32m23.466s
sys	0m27.213s

real	3m4.904s
user	36m30.045s
sys	0m27.577s

real	3m30.833s
user	45m10.247s
sys	0m29.887s

real	3m41.244s
user	51m7.449s
sys	0m29.247s

real	3m47.859s
user	56m27.478s
sys	0m29.657s

real	4m13.376s
user	67m3.379s
sys	0m29.739s
